,rating,user_id,book_id,work_id,genres,romance,history,biography,fantasy,fiction,mistery,classic
49,5,8842281e1d1347389f2ab93d60773d4d,1969280,,[],0,0,0,0,0,0,0
50,5,8842281e1d1347389f2ab93d60773d4d,17290220,,[],0,0,0,0,0,0,0
51,4,8842281e1d1347389f2ab93d60773d4d,6882,1289201,"['Nonfiction', 'Biography', 'Classics', 'Memoir', 'Adventure', 'Autobiography', 'History']",0,1,1,0,0,0,1
52,5,8842281e1d1347389f2ab93d60773d4d,6954929,,[],0,0,0,0,0,0,0
53,5,8842281e1d1347389f2ab93d60773d4d,18176747,,[],0,0,0,0,0,0,0
54,5,8842281e1d1347389f2ab93d60773d4d,5577844,,[],0,0,0,0,0,0,0
55,5,8842281e1d1347389f2ab93d60773d4d,21792828,,[],0,0,0,0,0,0,0
56,5,8842281e1d1347389f2ab93d60773d4d,19816540,,[],0,0,0,0,0,0,0
57,4,8842281e1d1347389f2ab93d60773d4d,17855756,,[],0,0,0,0,0,0,0
58,3,8842281e1d1347389f2ab93d60773d4d,17306293,,[],0,0,0,0,0,0,0
59,4,8842281e1d1347389f2ab93d60773d4d,12961964,,[],0,0,0,0,0,0,0
60,5,8842281e1d1347389f2ab93d60773d4d,8125726,,[],0,0,0,0,0,0,0
61,5,8842281e1d1347389f2ab93d60773d4d,11012,,[],0,0,0,0,0,0,0
62,5,8842281e1d1347389f2ab93d60773d4d,17315048,,[],0,0,0,0,0,0,0
63,5,8842281e1d1347389f2ab93d60773d4d,13792790,,[],0,0,0,0,0,0,0
64,4,8842281e1d1347389f2ab93d60773d4d,17860739,,[],0,0,0,0,0,0,0
65,5,8842281e1d1347389f2ab93d60773d4d,20604826,,[],0,0,0,0,0,0,0
66,4,8842281e1d1347389f2ab93d60773d4d,1027760,,[],0,0,0,0,0,0,0
67,4,8842281e1d1347389f2ab93d60773d4d,17333223,,[],0,0,0,0,0,0,0
68,5,8842281e1d1347389f2ab93d60773d4d,210009,,[],0,0,0,0,0,0,0
69,5,8842281e1d1347389f2ab93d60773d4d,5064,,[],0,0,0,0,0,0,0
70,5,8842281e1d1347389f2ab93d60773d4d,231850,,[],0,0,0,0,0,0,0
71,4,8842281e1d1347389f2ab93d60773d4d,19404862,,[],0,0,0,0,0,0,0
72,5,8842281e1d1347389f2ab93d60773d4d,8545079,,[],0,0,0,0,0,0,0
73,4,8842281e1d1347389f2ab93d60773d4d,18886735,,[],0,0,0,0,0,0,0
74,3,8842281e1d1347389f2ab93d60773d4d,8684868,,[],0,0,0,0,0,0,0
75,4,8842281e1d1347389f2ab93d60773d4d,18920567,,[],0,0,0,0,0,0,0
76,2,8842281e1d1347389f2ab93d60773d4d,8423493,,[],0,0,0,0,0,0,0
77,5,8842281e1d1347389f2ab93d60773d4d,460548,,[],0,0,0,0,0,0,0
78,4,8842281e1d1347389f2ab93d60773d4d,18659415,,[],0,0,0,0,0,0,0
79,4,8842281e1d1347389f2ab93d60773d4d,18774020,,[],0,0,0,0,0,0,0
80,4,8842281e1d1347389f2ab93d60773d4d,123715,,[],0,0,0,0,0,0,0
81,5,8842281e1d1347389f2ab93d60773d4d,17660462,,[],0,0,0,0,0,0,0
82,5,8842281e1d1347389f2ab93d60773d4d,31196,,[],0,0,0,0,0,0,0
83,5,8842281e1d1347389f2ab93d60773d4d,4948,,[],0,0,0,0,0,0,0
84,5,8842281e1d1347389f2ab93d60773d4d,17451257,,[],0,0,0,0,0,0,0
85,5,8842281e1d1347389f2ab93d60773d4d,13526165,,[],0,0,0,0,0,0,0
86,5,8842281e1d1347389f2ab93d60773d4d,8622058,,[],0,0,0,0,0,0,0
87,4,8842281e1d1347389f2ab93d60773d4d,16033093,,[],0,0,0,0,0,0,0
88,0,8842281e1d1347389f2ab93d60773d4d,16071764,21865596,"['Nonfiction', 'Business', 'Feminism', 'Self Help', 'Leadership', 'Book Club', 'Audiobook']",0,0,0,0,0,0,0
89,5,8842281e1d1347389f2ab93d60773d4d,10294362,,[],0,0,0,0,0,0,0
90,4,8842281e1d1347389f2ab93d60773d4d,3977,,[],0,0,0,0,0,0,0
91,4,8842281e1d1347389f2ab93d60773d4d,773858,,[],0,0,0,0,0,0,0
92,5,8842281e1d1347389f2ab93d60773d4d,13148183,,[],0,0,0,0,0,0,0
93,4,8842281e1d1347389f2ab93d60773d4d,180116,,[],0,0,0,0,0,0,0
94,4,8842281e1d1347389f2ab93d60773d4d,13453029,,[],0,0,0,0,0,0,0
95,4,8842281e1d1347389f2ab93d60773d4d,11869272,,[],0,0,0,0,0,0,0
96,5,8842281e1d1347389f2ab93d60773d4d,40955,,[],0,0,0,0,0,0,0
97,5,8842281e1d1347389f2ab93d60773d4d,13573189,19154153,[],0,0,0,0,0,0,0
98,5,8842281e1d1347389f2ab93d60773d4d,76964,,[],0,0,0,0,0,0,0
99,5,8842281e1d1347389f2ab93d60773d4d,96646,,[],0,0,0,0,0,0,0
100,5,8842281e1d1347389f2ab93d60773d4d,944102,,[],0,0,0,0,0,0,0
101,5,8842281e1d1347389f2ab93d60773d4d,76933,,[],0,0,0,0,0,0,0
102,5,8842281e1d1347389f2ab93d60773d4d,76932,,[],0,0,0,0,0,0,0
103,5,8842281e1d1347389f2ab93d60773d4d,76931,,[],0,0,0,0,0,0,0
104,5,8842281e1d1347389f2ab93d60773d4d,76934,,[],0,0,0,0,0,0,0
105,5,8842281e1d1347389f2ab93d60773d4d,76963,,[],0,0,0,0,0,0,0
106,5,8842281e1d1347389f2ab93d60773d4d,76948,,[],0,0,0,0,0,0,0
107,5,8842281e1d1347389f2ab93d60773d4d,76952,,[],0,0,0,0,0,0,0
108,5,8842281e1d1347389f2ab93d60773d4d,76961,,[],0,0,0,0,0,0,0
109,5,8842281e1d1347389f2ab93d60773d4d,32198,,[],0,0,0,0,0,0,0
110,5,8842281e1d1347389f2ab93d60773d4d,87976,,[],0,0,0,0,0,0,0
111,5,8842281e1d1347389f2ab93d60773d4d,760129,,[],0,0,0,0,0,0,0
112,5,8842281e1d1347389f2ab93d60773d4d,760119,,[],0,0,0,0,0,0,0
113,5,8842281e1d1347389f2ab93d60773d4d,278662,,[],0,0,0,0,0,0,0
114,5,8842281e1d1347389f2ab93d60773d4d,76953,,[],0,0,0,0,0,0,0
115,4,8842281e1d1347389f2ab93d60773d4d,77565,,[],0,0,0,0,0,0,0
116,5,8842281e1d1347389f2ab93d60773d4d,6289283,,[],0,0,0,0,0,0,0
117,5,8842281e1d1347389f2ab93d60773d4d,16008171,,[],0,0,0,0,0,0,0
118,4,8842281e1d1347389f2ab93d60773d4d,12953520,,[],0,0,0,0,0,0,0
119,3,8842281e1d1347389f2ab93d60773d4d,13239822,,[],0,0,0,0,0,0,0
120,5,8842281e1d1347389f2ab93d60773d4d,13414676,18713903,"['Nonfiction', 'Memoir', 'Book Club', 'Books About Books', 'Biography', 'Audiobook', 'Biography Memoir']",0,0,1,0,0,0,0
121,3,8842281e1d1347389f2ab93d60773d4d,9850443,,[],0,0,0,0,0,0,0
122,4,8842281e1d1347389f2ab93d60773d4d,7315573,,[],0,0,0,0,0,0,0
123,5,8842281e1d1347389f2ab93d60773d4d,23772,,[],0,0,0,0,0,0,0
124,4,8842281e1d1347389f2ab93d60773d4d,12609433,,[],0,0,0,0,0,0,0
125,5,8842281e1d1347389f2ab93d60773d4d,375711,,[],0,0,0,0,0,0,0
126,3,8842281e1d1347389f2ab93d60773d4d,11223478,,[],0,0,0,0,0,0,0
127,0,8842281e1d1347389f2ab93d60773d4d,12983631,,[],0,0,0,0,0,0,0
128,5,8842281e1d1347389f2ab93d60773d4d,10673579,,[],0,0,0,0,0,0,0
129,5,8842281e1d1347389f2ab93d60773d4d,19321,,[],0,0,0,0,0,0,0
130,5,8842281e1d1347389f2ab93d60773d4d,739484,,[],0,0,0,0,0,0,0
131,0,8842281e1d1347389f2ab93d60773d4d,8677247,,[],0,0,0,0,0,0,0
132,3,8842281e1d1347389f2ab93d60773d4d,12969594,,[],0,0,0,0,0,0,0
133,5,8842281e1d1347389f2ab93d60773d4d,488908,,[],0,0,0,0,0,0,0
134,5,8842281e1d1347389f2ab93d60773d4d,5572634,,[],0,0,0,0,0,0,0
135,5,8842281e1d1347389f2ab93d60773d4d,28815,,[],0,0,0,0,0,0,0
136,3,8842281e1d1347389f2ab93d60773d4d,8296156,,[],0,0,0,0,0,0,0
137,5,8842281e1d1347389f2ab93d60773d4d,8664353,12946965,"['Nonfiction', 'History', 'Biography', 'Book Club', 'World War II', 'War', 'Historical']",0,1,1,0,0,0,0
138,5,8842281e1d1347389f2ab93d60773d4d,11297044,,[],0,0,0,0,0,0,0
139,4,8842281e1d1347389f2ab93d60773d4d,9418327,,[],0,0,0,0,0,0,0
140,4,8842281e1d1347389f2ab93d60773d4d,6987584,,[],0,0,0,0,0,0,0
141,4,8842281e1d1347389f2ab93d60773d4d,12567957,,[],0,0,0,0,0,0,0
142,5,8842281e1d1347389f2ab93d60773d4d,1852,,[],0,0,0,0,0,0,0
143,4,8842281e1d1347389f2ab93d60773d4d,4986701,,[],0,0,0,0,0,0,0
144,5,8842281e1d1347389f2ab93d60773d4d,10572,,[],0,0,0,0,0,0,0
145,4,8842281e1d1347389f2ab93d60773d4d,130580,,[],0,0,0,0,0,0,0
146,2,8842281e1d1347389f2ab93d60773d4d,975,,[],0,0,0,0,0,0,0
147,5,8842281e1d1347389f2ab93d60773d4d,62291,,[],0,0,0,0,0,0,0
148,4,8842281e1d1347389f2ab93d60773d4d,295961,,[],0,0,0,0,0,0,0
149,5,8842281e1d1347389f2ab93d60773d4d,370493,,[],0,0,0,0,0,0,0
150,5,8842281e1d1347389f2ab93d60773d4d,8127,,[],0,0,0,0,0,0,0
151,5,8842281e1d1347389f2ab93d60773d4d,569564,,[],0,0,0,0,0,0,0
152,5,8842281e1d1347389f2ab93d60773d4d,3590,,[],0,0,0,0,0,0,0
153,5,8842281e1d1347389f2ab93d60773d4d,99107,,[],0,0,0,0,0,0,0
154,5,8842281e1d1347389f2ab93d60773d4d,157993,,[],0,0,0,0,0,0,0
155,5,8842281e1d1347389f2ab93d60773d4d,862041,,[],0,0,0,0,0,0,0
156,4,8842281e1d1347389f2ab93d60773d4d,9969571,,[],0,0,0,0,0,0,0
157,5,8842281e1d1347389f2ab93d60773d4d,10552338,,[],0,0,0,0,0,0,0
158,5,8842281e1d1347389f2ab93d60773d4d,6563914,,[],0,0,0,0,0,0,0
159,4,8842281e1d1347389f2ab93d60773d4d,9938498,,[],0,0,0,0,0,0,0
160,5,8842281e1d1347389f2ab93d60773d4d,11474551,,[],0,0,0,0,0,0,0
161,5,8842281e1d1347389f2ab93d60773d4d,18116,,[],0,0,0,0,0,0,0
162,5,8842281e1d1347389f2ab93d60773d4d,33,,[],0,0,0,0,0,0,0
163,5,8842281e1d1347389f2ab93d60773d4d,2998,,[],0,0,0,0,0,0,0
164,5,8842281e1d1347389f2ab93d60773d4d,7613,,[],0,0,0,0,0,0,0
165,4,8842281e1d1347389f2ab93d60773d4d,18914012,,[],0,0,0,0,0,0,0
166,4,8842281e1d1347389f2ab93d60773d4d,10139649,,[],0,0,0,0,0,0,0
167,5,8842281e1d1347389f2ab93d60773d4d,8519525,,[],0,0,0,0,0,0,0
168,4,8842281e1d1347389f2ab93d60773d4d,38840,,[],0,0,0,0,0,0,0
169,4,8842281e1d1347389f2ab93d60773d4d,43536,,[],0,0,0,0,0,0,0
170,4,8842281e1d1347389f2ab93d60773d4d,37553,,[],0,0,0,0,0,0,0
171,3,8842281e1d1347389f2ab93d60773d4d,6452796,6643001,"['Nonfiction', 'Business', 'Psychology', 'Leadership', 'Self Help', 'Personal Development', 'Management']",0,0,0,0,0,0,0
172,5,8842281e1d1347389f2ab93d60773d4d,211099,,[],0,0,0,0,0,0,0
173,3,8842281e1d1347389f2ab93d60773d4d,7905092,,[],0,0,0,0,0,0,0
174,3,8842281e1d1347389f2ab93d60773d4d,8694005,,[],0,0,0,0,0,0,0
175,2,8842281e1d1347389f2ab93d60773d4d,3396933,,[],0,0,0,0,0,0,0
176,5,8842281e1d1347389f2ab93d60773d4d,67490,,[],0,0,0,0,0,0,0
177,5,8842281e1d1347389f2ab93d60773d4d,8213519,,[],0,0,0,0,0,0,0
178,4,8842281e1d1347389f2ab93d60773d4d,1301,,[],0,0,0,0,0,0,0
179,0,8842281e1d1347389f2ab93d60773d4d,3892685,,[],0,0,0,0,0,0,0
180,4,8842281e1d1347389f2ab93d60773d4d,7112495,,[],0,0,0,0,0,0,0
181,5,8842281e1d1347389f2ab93d60773d4d,7518289,,[],0,0,0,0,0,0,0
182,5,8842281e1d1347389f2ab93d60773d4d,6828896,,[],0,0,0,0,0,0,0
183,5,8842281e1d1347389f2ab93d60773d4d,7685831,,[],0,0,0,0,0,0,0
184,3,8842281e1d1347389f2ab93d60773d4d,242268,,[],0,0,0,0,0,0,0
185,3,8842281e1d1347389f2ab93d60773d4d,6652906,,[],0,0,0,0,0,0,0
186,0,8842281e1d1347389f2ab93d60773d4d,83518,,[],0,0,0,0,0,0,0
187,5,8842281e1d1347389f2ab93d60773d4d,2429135,,[],0,0,0,0,0,0,0
188,3,8842281e1d1347389f2ab93d60773d4d,7061,,[],0,0,0,0,0,0,0
189,4,8842281e1d1347389f2ab93d60773d4d,7244,,[],0,0,0,0,0,0,0
190,5,8842281e1d1347389f2ab93d60773d4d,781787,,[],0,0,0,0,0,0,0
191,5,8842281e1d1347389f2ab93d60773d4d,2767052,,[],0,0,0,0,0,0,0
192,5,8842281e1d1347389f2ab93d60773d4d,6984678,,[],0,0,0,0,0,0,0
193,3,8842281e1d1347389f2ab93d60773d4d,6713575,,[],0,0,0,0,0,0,0
194,3,8842281e1d1347389f2ab93d60773d4d,6411961,,[],0,0,0,0,0,0,0
195,4,8842281e1d1347389f2ab93d60773d4d,116187,,[],0,0,0,0,0,0,0
196,5,8842281e1d1347389f2ab93d60773d4d,5129,,[],0,0,0,0,0,0,0
197,4,8842281e1d1347389f2ab93d60773d4d,77431,,[],0,0,0,0,0,0,0
198,5,8842281e1d1347389f2ab93d60773d4d,95420,,[],0,0,0,0,0,0,0
199,3,8842281e1d1347389f2ab93d60773d4d,7661,,[],0,0,0,0,0,0,0
200,3,8842281e1d1347389f2ab93d60773d4d,54499,,[],0,0,0,0,0,0,0
201,4,8842281e1d1347389f2ab93d60773d4d,177194,,[],0,0,0,0,0,0,0
202,4,8842281e1d1347389f2ab93d60773d4d,3760,,[],0,0,0,0,0,0,0
203,4,8842281e1d1347389f2ab93d60773d4d,3757,,[],0,0,0,0,0,0,0
204,4,8842281e1d1347389f2ab93d60773d4d,3759,,[],0,0,0,0,0,0,0
205,5,8842281e1d1347389f2ab93d60773d4d,3764,,[],0,0,0,0,0,0,0
206,4,8842281e1d1347389f2ab93d60773d4d,15769,,[],0,0,0,0,0,0,0
207,4,8842281e1d1347389f2ab93d60773d4d,515608,,[],0,0,0,0,0,0,0
208,5,8842281e1d1347389f2ab93d60773d4d,6150530,,[],0,0,0,0,0,0,0
209,4,8842281e1d1347389f2ab93d60773d4d,77427,,[],0,0,0,0,0,0,0
210,5,8842281e1d1347389f2ab93d60773d4d,77432,,[],0,0,0,0,0,0,0
211,4,8842281e1d1347389f2ab93d60773d4d,918095,,[],0,0,0,0,0,0,0
212,4,8842281e1d1347389f2ab93d60773d4d,33600,,[],0,0,0,0,0,0,0
213,5,8842281e1d1347389f2ab93d60773d4d,177193,,[],0,0,0,0,0,0,0
214,5,8842281e1d1347389f2ab93d60773d4d,6390320,,[],0,0,0,0,0,0,0
215,4,8842281e1d1347389f2ab93d60773d4d,48855,,[],0,0,0,0,0,0,0
216,5,8842281e1d1347389f2ab93d60773d4d,41804,,[],0,0,0,0,0,0,0
217,5,8842281e1d1347389f2ab93d60773d4d,2485075,,[],0,0,0,0,0,0,0
218,5,8842281e1d1347389f2ab93d60773d4d,815985,,[],0,0,0,0,0,0,0
219,5,8842281e1d1347389f2ab93d60773d4d,1232,,[],0,0,0,0,0,0,0
220,4,8842281e1d1347389f2ab93d60773d4d,3061530,,[],0,0,0,0,0,0,0
221,3,8842281e1d1347389f2ab93d60773d4d,6337218,,[],0,0,0,0,0,0,0
222,5,8842281e1d1347389f2ab93d60773d4d,5100525,,[],0,0,0,0,0,0,0
223,2,8842281e1d1347389f2ab93d60773d4d,19002,,[],0,0,0,0,0,0,0
224,5,8842281e1d1347389f2ab93d60773d4d,77430,,[],0,0,0,0,0,0,0
225,3,8842281e1d1347389f2ab93d60773d4d,762806,,[],0,0,0,0,0,0,0
226,5,8842281e1d1347389f2ab93d60773d4d,136251,,[],0,0,0,0,0,0,0
227,3,8842281e1d1347389f2ab93d60773d4d,11275,,[],0,0,0,0,0,0,0
228,4,8842281e1d1347389f2ab93d60773d4d,3228917,,[],0,0,0,0,0,0,0
229,5,8842281e1d1347389f2ab93d60773d4d,2054761,,[],0,0,0,0,0,0,0
230,4,8842281e1d1347389f2ab93d60773d4d,142296,,[],0,0,0,0,0,0,0
231,5,8842281e1d1347389f2ab93d60773d4d,76865,,[],0,0,0,0,0,0,0
232,4,8842281e1d1347389f2ab93d60773d4d,3109,,[],0,0,0,0,0,0,0
233,5,8842281e1d1347389f2ab93d60773d4d,853961,,[],0,0,0,0,0,0,0
234,5,8842281e1d1347389f2ab93d60773d4d,76620,,[],0,0,0,0,0,0,0
235,5,8842281e1d1347389f2ab93d60773d4d,304889,,[],0,0,0,0,0,0,0
236,5,8842281e1d1347389f2ab93d60773d4d,1713426,,[],0,0,0,0,0,0,0
237,4,8842281e1d1347389f2ab93d60773d4d,43944,,[],0,0,0,0,0,0,0
238,5,8842281e1d1347389f2ab93d60773d4d,178186,172128,"['Africa', 'Nonfiction', 'Memoir', 'Anthropology', 'Biography', 'Tanzania', 'Kenya']",0,0,1,0,0,0,0
239,4,8842281e1d1347389f2ab93d60773d4d,49226,,[],0,0,0,0,0,0,0
240,4,8842281e1d1347389f2ab93d60773d4d,26899,,[],0,0,0,0,0,0,0
241,3,8842281e1d1347389f2ab93d60773d4d,34497,,[],0,0,0,0,0,0,0
242,4,8842281e1d1347389f2ab93d60773d4d,2118114,,[],0,0,0,0,0,0,0
243,4,8842281e1d1347389f2ab93d60773d4d,347610,,[],0,0,0,0,0,0,0
244,3,8842281e1d1347389f2ab93d60773d4d,77168,,[],0,0,0,0,0,0,0
245,3,8842281e1d1347389f2ab93d60773d4d,513158,,[],0,0,0,0,0,0,0
246,3,8842281e1d1347389f2ab93d60773d4d,424587,,[],0,0,0,0,0,0,0
247,3,8842281e1d1347389f2ab93d60773d4d,513173,,[],0,0,0,0,0,0,0
248,3,8842281e1d1347389f2ab93d60773d4d,161540,,[],0,0,0,0,0,0,0
249,3,8842281e1d1347389f2ab93d60773d4d,302618,,[],0,0,0,0,0,0,0
250,3,8842281e1d1347389f2ab93d60773d4d,353479,,[],0,0,0,0,0,0,0
251,3,8842281e1d1347389f2ab93d60773d4d,760110,,[],0,0,0,0,0,0,0
252,3,8842281e1d1347389f2ab93d60773d4d,513207,,[],0,0,0,0,0,0,0
253,3,8842281e1d1347389f2ab93d60773d4d,760111,,[],0,0,0,0,0,0,0
254,3,8842281e1d1347389f2ab93d60773d4d,555313,,[],0,0,0,0,0,0,0
255,3,8842281e1d1347389f2ab93d60773d4d,263012,,[],0,0,0,0,0,0,0
256,3,8842281e1d1347389f2ab93d60773d4d,216443,1133995,"['Star Wars', 'Science Fiction', 'Fiction', 'Fantasy', 'Space Opera', 'Audiobook', 'Science Fiction Fantasy']",0,0,0,1,1,0,0
257,3,8842281e1d1347389f2ab93d60773d4d,797268,,[],0,0,0,0,0,0,0
258,5,8842281e1d1347389f2ab93d60773d4d,18512,,[],0,0,0,0,0,0,0
259,5,8842281e1d1347389f2ab93d60773d4d,15241,,[],0,0,0,0,0,0,0
260,5,8842281e1d1347389f2ab93d60773d4d,34,,[],0,0,0,0,0,0,0
261,4,8842281e1d1347389f2ab93d60773d4d,18490,,[],0,0,0,0,0,0,0
262,4,8842281e1d1347389f2ab93d60773d4d,1010966,,[],0,0,0,0,0,0,0
263,5,8842281e1d1347389f2ab93d60773d4d,595069,,[],0,0,0,0,0,0,0
264,5,8842281e1d1347389f2ab93d60773d4d,8695,,[],0,0,0,0,0,0,0
265,5,8842281e1d1347389f2ab93d60773d4d,361,,[],0,0,0,0,0,0,0
266,5,8842281e1d1347389f2ab93d60773d4d,11,,[],0,0,0,0,0,0,0
267,5,8842281e1d1347389f2ab93d60773d4d,24815,,[],0,0,0,0,0,0,0
268,5,8842281e1d1347389f2ab93d60773d4d,24818,,[],0,0,0,0,0,0,0
269,5,8842281e1d1347389f2ab93d60773d4d,59715,,[],0,0,0,0,0,0,0
270,5,8842281e1d1347389f2ab93d60773d4d,24816,,[],0,0,0,0,0,0,0
271,4,8842281e1d1347389f2ab93d60773d4d,14497,,[],0,0,0,0,0,0,0
272,4,8842281e1d1347389f2ab93d60773d4d,1536419,,[],0,0,0,0,0,0,0
273,4,8842281e1d1347389f2ab93d60773d4d,1003378,,[],0,0,0,0,0,0,0
274,5,8842281e1d1347389f2ab93d60773d4d,77566,,[],0,0,0,0,0,0,0
275,3,8842281e1d1347389f2ab93d60773d4d,685448,,[],0,0,0,0,0,0,0
276,4,8842281e1d1347389f2ab93d60773d4d,469571,,[],0,0,0,0,0,0,0
277,4,8842281e1d1347389f2ab93d60773d4d,361459,,[],0,0,0,0,0,0,0
278,5,8842281e1d1347389f2ab93d60773d4d,897461,,[],0,0,0,0,0,0,0
279,4,8842281e1d1347389f2ab93d60773d4d,228560,,[],0,0,0,0,0,0,0
280,4,8842281e1d1347389f2ab93d60773d4d,69242,,[],0,0,0,0,0,0,0
281,4,8842281e1d1347389f2ab93d60773d4d,335813,,[],0,0,0,0,0,0,0
282,5,8842281e1d1347389f2ab93d60773d4d,10365,,[],0,0,0,0,0,0,0
283,5,8842281e1d1347389f2ab93d60773d4d,5548,,[],0,0,0,0,0,0,0
284,4,8842281e1d1347389f2ab93d60773d4d,18122,1774510,"['Fantasy', 'Young Adult', 'Fiction', 'Audiobook', 'Adventure', 'Science Fiction', 'Childrens']",0,0,0,1,1,0,0
285,5,8842281e1d1347389f2ab93d60773d4d,119324,,[],0,0,0,0,0,0,0
286,5,8842281e1d1347389f2ab93d60773d4d,119322,,[],0,0,0,0,0,0,0
287,4,8842281e1d1347389f2ab93d60773d4d,1953,,[],0,0,0,0,0,0,0
288,5,8842281e1d1347389f2ab93d60773d4d,33507,,[],0,0,0,0,0,0,0
289,5,8842281e1d1347389f2ab93d60773d4d,156770,,[],0,0,0,0,0,0,0
290,5,8842281e1d1347389f2ab93d60773d4d,125404,,[],0,0,0,0,0,0,0
291,5,8842281e1d1347389f2ab93d60773d4d,368593,,[],0,0,0,0,0,0,0
292,4,8842281e1d1347389f2ab93d60773d4d,7082,,[],0,0,0,0,0,0,0
293,0,8842281e1d1347389f2ab93d60773d4d,7090,,[],0,0,0,0,0,0,0
